"Product ID";"Active (0/1)";Name;Categories;"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;Tags;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse
1;1;"Hummingbird printed t-shirt";"На Головну,Clothes,Men";28.68;1;0.000000;;;20;;;demo_1;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;2400;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Regular fit, round neckline, short sleeves. Made of extra long staple pima cotton. </span></p>
<p></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbol of lightness and delicacy, the hummingbird evokes curiosity and joy.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</span></span></p>";;;;;hummingbird-printed-t-shirt;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/1/hummingbird-printed-t-shirt.jpg,http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/2/hummingbird-printed-t-shirt.jpg;0;;;new;;;;2;1;;;
2;1;"Hummingbird printed sweater";"На Головну,Clothes,Women";43.08;1;0.000000;;;20;;;demo_3;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;2100;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Regular fit, round neckline, long sleeves. 100% cotton, brushed inner side for extra comfort. </span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Studio Design' PolyFaune collection features classic products with colorful patterns, inspired by the traditional japanese origamis. To wear with a chino or jeans. The sublimation textile printing process provides an exceptional color rendering and a color, guaranteed overtime.</span></span></p>";;;;;brown-bear-printed-sweater;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/21/brown-bear-printed-sweater.jpg;0;;;new;;;;2;1;;;
3;1;"The best is yet to come' Framed poster";"На Головну";34.8;1;0.000000;;;;;;demo_6;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Printed on rigid matt paper and smooth surface.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</span></p>";;;;;the-best-is-yet-to-come-framed-poster;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/3/the-best-is-yet-to-come-framed-poster.jpg;0;;;new;;;;2;1;;;
4;1;"The adventure begins Framed poster";"На Головну";34.8;1;0.000000;;;;;;demo_5;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Printed on rigid matt finish and smooth surface.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</span></p>";;;;;the-adventure-begins-framed-poster;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/4/the-adventure-begins-framed-poster.jpg;0;;;new;;;;2;1;;;
5;1;"Today is a good day Framed poster";"На Головну";34.8;1;0.000000;;;;;;demo_7;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;900;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Printed on rigid paper with matt finish and smooth surface.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The best is yet to come! Give your walls a voice with a framed poster. This aesthethic, optimistic poster will look great in your desk or in an open-space office. Painted wooden frame with passe-partout for more depth.</span></p>";;;;;today-is-a-good-day-framed-poster;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/5/today-is-a-good-day-framed-poster.jpg;0;;;new;;;;2;1;;;
6;1;"Mug The best is yet to come";"На Головну";14.28;1;0.000000;;;;;;demo_11;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">White Ceramic Mug, 325ml.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The best is yet to come! Start the day off right with a positive thought. 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</span></p>";;;;;mug-the-best-is-yet-to-come;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/6/mug-the-best-is-yet-to-come.jpg;0;;;new;;;;2;1;;;
7;1;"Mug The adventure begins";"На Головну";14.28;1;0.000000;;;;;;demo_12;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">White Ceramic Mug. 325ml</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The adventure begins with a cup of coffee. Set out to conquer the day! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</span></p>";;;;;mug-the-adventure-begins;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/7/mug-the-adventure-begins.jpg;0;;;new;;;;2;1;;;
8;1;"Mug Today is a good day";"На Головну";14.28;1;0.000000;;;;;;demo_13;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">White Ceramic Mug. 325ml</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Add an optimistic touch to your morning coffee and start the day in a good mood! 8,2cm diameter / 9,5cm height / 0.43kg. Dishwasher-proof.</span></p>";;;;;mug-today-is-a-good-day;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/8/mug-today-is-a-good-day.jpg;0;"Frame Size:Ruled:1:1";;new;;;;2;1;;;
9;1;"Mountain fox cushion";"На Головну";22.68;1;0.000000;;;;;;demo_15;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;600;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Cushion with removable cover and invisible zip on the back. 32x32cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">The mountain fox cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</span></p>";;;;;mountain-fox-cushion;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/9/mountain-fox-cushion.jpg,http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/10/mountain-fox-cushion.jpg;0;;;new;;;;2;1;;;
10;1;"Brown bear cushion";"На Головну";22.68;1;0.000000;;;;;;demo_16;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;600;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Cushion with removable cover and invisible zip on the back. 32x32cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">The brown bear cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</span></p>";;;;;brown-bear-cushion;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/11/brown-bear-cushion.jpg,http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/12/brown-bear-cushion.jpg;0;"Frame Size:Ruled:1:1";;new;;;;2;1;;;
